product_id,product_name,brand,category,ingredients,benefits,suitable_skin_types
1,Radiant Revive 446,BrandC,Serum,"Hyaluronic Acid, Niacinamide",Anti-Aging,Sensitive
2,Clear Glow 636,BrandB,Mask,"Hyaluronic Acid, Niacinamide, Salicylic Acid, Glycolic Acid","Exfoliation, Brightening, Oil Control","Sensitive, Combination"
3,Radiant Bright 284,BrandD,Serum,"Hyaluronic Acid, Vitamin C","Brightening, Soothing, Exfoliation","Sensitive, Oily"
4,Ultra Glow 239,BrandE,Serum,"Salicylic Acid, Hyaluronic Acid, Niacinamide, Vitamin C",Exfoliation,"Oily, Sensitive"
5,Hydra Revive 291,BrandD,Sunscreen,"Vitamin C, Glycolic Acid","Exfoliation, Hydration","Oily, Dry"
6,Clear Smooth 188,BrandE,Mask,"Vitamin C, Glycolic Acid, Hyaluronic Acid, Salicylic Acid",Brightening,"Dry, Oily, Combination"
7,Pure Fresh 942,BrandE,Cleanser,"Niacinamide, Glycolic Acid, Hyaluronic Acid","Oil Control, Brightening, Exfoliation","Combination, Dry, Oily, Sensitive"
8,Radiant Smooth 199,BrandC,Moisturizer,"Salicylic Acid, Vitamin C, Retinol",Brightening,"Combination, Sensitive, Dry"
9,Hydra Bright 311,BrandB,Moisturizer,"Retinol, Niacinamide, Glycolic Acid, Vitamin C","Soothing, Oil Control, Hydration","Dry, Oily, Sensitive"
10,Radiant Revive 928,BrandA,Cleanser,"Vitamin C, Niacinamide, Salicylic Acid","Hydration, Exfoliation","Sensitive, Combination"
11,Radiant Bright 714,BrandD,Sunscreen,"Hyaluronic Acid, Vitamin C, Salicylic Acid",Brightening,Sensitive
12,Hydra Revive 988,BrandD,Moisturizer,"Salicylic Acid, Vitamin C, Hyaluronic Acid, Glycolic Acid","Anti-Aging, Brightening","Combination, Sensitive"
13,Ultra Bright 812,BrandB,Serum,"Vitamin C, Hyaluronic Acid","Exfoliation, Anti-Aging","Oily, Sensitive"
14,Pure Bright 236,BrandC,Mask,"Niacinamide, Glycolic Acid, Salicylic Acid, Hyaluronic Acid","Exfoliation, Anti-Aging","Sensitive, Combination, Oily"
15,Ultra Revive 505,BrandD,Serum,"Salicylic Acid, Vitamin C, Retinol","Anti-Aging, Exfoliation","Sensitive, Oily"
16,Hydra Bright 880,BrandD,Cleanser,"Glycolic Acid, Retinol, Salicylic Acid, Vitamin C","Soothing, Anti-Aging",Combination
17,Clear Fresh 254,BrandB,Serum,"Salicylic Acid, Vitamin C",Exfoliation,"Oily, Sensitive"
18,Hydra Smooth 688,BrandC,Serum,"Hyaluronic Acid, Vitamin C","Brightening, Hydration, Anti-Aging","Combination, Sensitive, Dry"
19,Ultra Revive 670,BrandA,Cleanser,"Glycolic Acid, Retinol, Niacinamide","Soothing, Exfoliation","Oily, Dry"
20,Radiant Glow 706,BrandC,Exfoliator,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",Oil Control,"Combination, Oily, Dry, Sensitive"
21,Pure Revive 953,BrandE,Sunscreen,"Glycolic Acid, Hyaluronic Acid, Niacinamide, Vitamin C","Oil Control, Soothing, Brightening","Dry, Oily, Combination, Sensitive"
22,Clear Fresh 521,BrandE,Mask,"Hyaluronic Acid, Retinol, Salicylic Acid, Niacinamide",Hydration,"Combination, Oily"
23,Hydra Fresh 968,BrandD,Sunscreen,"Salicylic Acid, Hyaluronic Acid","Brightening, Anti-Aging, Oil Control",Combination
24,Clear Smooth 621,BrandB,Sunscreen,"Salicylic Acid, Niacinamide, Hyaluronic Acid, Vitamin C","Hydration, Brightening, Anti-Aging",Oily
25,Ultra Smooth 438,BrandA,Exfoliator,"Hyaluronic Acid, Salicylic Acid, Vitamin C","Hydration, Soothing, Anti-Aging","Dry, Sensitive, Oily, Combination"
26,Hydra Fresh 140,BrandE,Cleanser,"Retinol, Niacinamide, Salicylic Acid","Oil Control, Soothing",Combination
27,Hydra Smooth 204,BrandD,Sunscreen,"Glycolic Acid, Retinol","Anti-Aging, Oil Control","Dry, Combination, Oily, Sensitive"
28,Clear Bright 368,BrandD,Moisturizer,"Glycolic Acid, Niacinamide","Anti-Aging, Hydration, Oil Control","Combination, Oily, Dry"
29,Radiant Fresh 504,BrandB,Serum,"Vitamin C, Hyaluronic Acid, Glycolic Acid, Niacinamide","Soothing, Hydration",Oily
30,Ultra Bright 738,BrandC,Sunscreen,"Glycolic Acid, Hyaluronic Acid, Retinol",Anti-Aging,"Oily, Dry, Sensitive"
31,Ultra Smooth 769,BrandA,Exfoliator,"Glycolic Acid, Hyaluronic Acid, Niacinamide, Vitamin C","Hydration, Oil Control, Anti-Aging","Oily, Sensitive, Combination"
32,Ultra Fresh 667,BrandB,Moisturizer,"Niacinamide, Vitamin C, Retinol",Hydration,"Oily, Sensitive, Combination, Dry"
33,Radiant Glow 352,BrandB,Cleanser,"Retinol, Glycolic Acid","Brightening, Exfoliation","Oily, Combination"
34,Radiant Fresh 817,BrandD,Mask,"Salicylic Acid, Hyaluronic Acid, Vitamin C, Glycolic Acid","Anti-Aging, Soothing, Exfoliation","Dry, Oily, Sensitive"
35,Pure Revive 343,BrandC,Mask,"Salicylic Acid, Niacinamide, Retinol","Brightening, Anti-Aging","Combination, Oily, Sensitive"
36,Clear Smooth 299,BrandA,Moisturizer,"Niacinamide, Salicylic Acid, Vitamin C",Anti-Aging,"Dry, Sensitive, Combination, Oily"
37,Ultra Revive 587,BrandD,Mask,"Salicylic Acid, Hyaluronic Acid","Brightening, Soothing, Hydration","Sensitive, Oily, Combination, Dry"
38,Ultra Bright 535,BrandC,Sunscreen,"Retinol, Hyaluronic Acid, Vitamin C, Salicylic Acid","Exfoliation, Soothing, Hydration",Oily
39,Hydra Revive 672,BrandB,Moisturizer,"Vitamin C, Retinol, Salicylic Acid, Glycolic Acid","Anti-Aging, Oil Control",Combination
40,Hydra Revive 298,BrandB,Moisturizer,"Glycolic Acid, Hyaluronic Acid","Brightening, Soothing",Sensitive
41,Radiant Revive 889,BrandB,Cleanser,"Glycolic Acid, Hyaluronic Acid","Anti-Aging, Brightening, Hydration","Oily, Combination, Dry"
42,Pure Fresh 365,BrandD,Cleanser,"Retinol, Glycolic Acid, Salicylic Acid",Soothing,Oily
43,Pure Fresh 743,BrandE,Sunscreen,"Vitamin C, Salicylic Acid, Hyaluronic Acid","Soothing, Brightening",Dry
44,Ultra Bright 895,BrandA,Sunscreen,"Vitamin C, Retinol, Salicylic Acid",Soothing,"Dry, Sensitive"
45,Hydra Smooth 719,BrandE,Exfoliator,"Hyaluronic Acid, Salicylic Acid",Exfoliation,"Combination, Dry, Sensitive"
46,Clear Revive 438,BrandC,Moisturizer,"Glycolic Acid, Retinol","Hydration, Soothing, Oil Control","Combination, Dry"
47,Hydra Revive 357,BrandC,Mask,"Vitamin C, Niacinamide, Hyaluronic Acid","Hydration, Anti-Aging, Soothing","Sensitive, Oily, Combination, Dry"
48,Hydra Bright 852,BrandB,Sunscreen,"Hyaluronic Acid, Vitamin C, Retinol, Salicylic Acid","Oil Control, Hydration","Combination, Sensitive, Oily, Dry"
49,Hydra Bright 855,BrandE,Sunscreen,"Niacinamide, Glycolic Acid",Soothing,"Combination, Sensitive"
50,Hydra Smooth 156,BrandE,Serum,"Glycolic Acid, Vitamin C, Retinol, Hyaluronic Acid",Oil Control,"Dry, Sensitive, Combination"
51,Ultra Glow 538,BrandD,Exfoliator,"Hyaluronic Acid, Salicylic Acid, Glycolic Acid, Niacinamide","Oil Control, Brightening","Combination, Sensitive, Oily, Dry"
52,Clear Fresh 780,BrandA,Sunscreen,"Vitamin C, Glycolic Acid, Salicylic Acid","Soothing, Oil Control, Hydration","Dry, Oily, Sensitive, Combination"
53,Hydra Bright 337,BrandA,Cleanser,"Retinol, Glycolic Acid","Soothing, Hydration","Combination, Sensitive"
54,Clear Glow 680,BrandB,Serum,"Retinol, Hyaluronic Acid, Vitamin C",Soothing,"Combination, Oily, Sensitive, Dry"
55,Clear Bright 978,BrandB,Serum,"Glycolic Acid, Hyaluronic Acid, Niacinamide",Soothing,"Dry, Sensitive, Oily, Combination"
56,Pure Bright 631,BrandD,Moisturizer,"Hyaluronic Acid, Niacinamide","Hydration, Anti-Aging","Dry, Oily, Sensitive"
57,Radiant Revive 297,BrandD,Mask,"Hyaluronic Acid, Salicylic Acid, Vitamin C","Exfoliation, Brightening","Oily, Combination, Dry, Sensitive"
58,Radiant Smooth 838,BrandD,Mask,"Vitamin C, Retinol, Hyaluronic Acid, Glycolic Acid","Oil Control, Anti-Aging","Combination, Dry, Oily, Sensitive"
59,Clear Glow 363,BrandE,Moisturizer,"Salicylic Acid, Niacinamide, Vitamin C, Retinol",Oil Control,Sensitive
60,Pure Bright 384,BrandB,Cleanser,"Retinol, Vitamin C, Niacinamide, Salicylic Acid",Soothing,Oily
61,Hydra Bright 888,BrandA,Cleanser,"Retinol, Niacinamide, Salicylic Acid",Brightening,Dry
62,Radiant Revive 148,BrandA,Cleanser,"Salicylic Acid, Retinol, Glycolic Acid",Oil Control,"Oily, Sensitive"
63,Radiant Bright 439,BrandB,Mask,"Hyaluronic Acid, Niacinamide",Hydration,"Sensitive, Dry"
64,Ultra Bright 367,BrandA,Exfoliator,"Hyaluronic Acid, Vitamin C","Brightening, Exfoliation, Oil Control","Combination, Sensitive"
65,Hydra Fresh 289,BrandC,Cleanser,"Vitamin C, Retinol","Exfoliation, Brightening","Oily, Dry"
66,Radiant Glow 939,BrandB,Cleanser,"Niacinamide, Hyaluronic Acid, Vitamin C","Soothing, Exfoliation, Brightening","Oily, Sensitive"
67,Ultra Glow 339,BrandC,Cleanser,"Glycolic Acid, Hyaluronic Acid, Vitamin C, Salicylic Acid","Hydration, Soothing","Dry, Sensitive, Combination, Oily"
68,Hydra Revive 220,BrandC,Serum,"Vitamin C, Hyaluronic Acid, Niacinamide","Brightening, Soothing","Oily, Sensitive, Dry"
69,Clear Fresh 309,BrandA,Sunscreen,"Niacinamide, Hyaluronic Acid, Salicylic Acid",Soothing,"Oily, Dry"
70,Pure Bright 159,BrandC,Moisturizer,"Niacinamide, Glycolic Acid, Salicylic Acid","Exfoliation, Hydration","Dry, Sensitive, Combination, Oily"
71,Pure Revive 992,BrandA,Sunscreen,"Glycolic Acid, Hyaluronic Acid, Vitamin C, Salicylic Acid","Brightening, Oil Control","Combination, Dry"
72,Radiant Revive 388,BrandB,Moisturizer,"Retinol, Salicylic Acid",Oil Control,Combination
73,Radiant Glow 968,BrandA,Exfoliator,"Niacinamide, Hyaluronic Acid, Vitamin C, Glycolic Acid",Brightening,"Sensitive, Dry, Combination, Oily"
74,Clear Bright 856,BrandB,Sunscreen,"Salicylic Acid, Retinol, Glycolic Acid, Niacinamide","Soothing, Brightening, Exfoliation",Oily
75,Hydra Smooth 433,BrandB,Cleanser,"Vitamin C, Glycolic Acid, Hyaluronic Acid, Retinol","Anti-Aging, Exfoliation, Oil Control",Sensitive
76,Radiant Glow 343,BrandA,Moisturizer,"Glycolic Acid, Niacinamide",Brightening,"Oily, Dry, Combination"
77,Ultra Smooth 732,BrandA,Serum,"Retinol, Hyaluronic Acid","Soothing, Anti-Aging, Oil Control","Sensitive, Combination, Dry, Oily"
78,Clear Glow 184,BrandD,Sunscreen,"Hyaluronic Acid, Salicylic Acid, Glycolic Acid, Vitamin C",Anti-Aging,Sensitive
79,Hydra Bright 688,BrandE,Serum,"Retinol, Hyaluronic Acid, Niacinamide, Vitamin C",Oil Control,"Sensitive, Oily"
80,Radiant Fresh 111,BrandE,Cleanser,"Retinol, Glycolic Acid, Niacinamide, Salicylic Acid","Anti-Aging, Brightening, Hydration","Oily, Dry"
81,Radiant Bright 373,BrandD,Moisturizer,"Hyaluronic Acid, Vitamin C","Anti-Aging, Oil Control",Dry
82,Pure Smooth 999,BrandB,Mask,"Vitamin C, Niacinamide","Soothing, Oil Control, Anti-Aging",Combination
83,Radiant Fresh 164,BrandE,Serum,"Salicylic Acid, Retinol, Niacinamide",Brightening,"Combination, Dry, Sensitive, Oily"
84,Radiant Smooth 107,BrandB,Sunscreen,"Salicylic Acid, Hyaluronic Acid, Vitamin C",Anti-Aging,"Dry, Combination, Sensitive, Oily"
85,Radiant Smooth 218,BrandA,Moisturizer,"Vitamin C, Hyaluronic Acid, Salicylic Acid, Retinol",Oil Control,"Dry, Combination"
86,Radiant Smooth 400,BrandB,Moisturizer,"Niacinamide, Retinol, Hyaluronic Acid, Glycolic Acid","Soothing, Exfoliation",Oily
87,Clear Bright 842,BrandC,Moisturizer,"Niacinamide, Salicylic Acid, Vitamin C, Glycolic Acid",Oil Control,"Sensitive, Combination, Dry"
88,Clear Bright 593,BrandD,Moisturizer,"Retinol, Salicylic Acid, Vitamin C, Niacinamide","Anti-Aging, Soothing, Hydration","Sensitive, Dry, Oily"
89,Clear Bright 473,BrandD,Cleanser,"Glycolic Acid, Niacinamide","Soothing, Brightening","Combination, Sensitive, Dry, Oily"
90,Clear Bright 761,BrandD,Exfoliator,"Retinol, Niacinamide","Soothing, Hydration","Oily, Combination, Dry"
91,Pure Revive 535,BrandB,Mask,"Hyaluronic Acid, Vitamin C, Salicylic Acid, Niacinamide","Oil Control, Hydration, Anti-Aging",Oily
92,Clear Smooth 447,BrandA,Sunscreen,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid, Vitamin C","Exfoliation, Soothing, Anti-Aging","Sensitive, Dry, Oily"
93,Clear Fresh 352,BrandB,Sunscreen,"Salicylic Acid, Glycolic Acid, Vitamin C, Niacinamide",Exfoliation,"Dry, Oily, Sensitive"
94,Hydra Fresh 948,BrandE,Exfoliator,"Retinol, Salicylic Acid","Soothing, Brightening",Oily
95,Clear Fresh 129,BrandA,Serum,"Retinol, Vitamin C","Anti-Aging, Soothing","Dry, Combination, Sensitive"
96,Pure Revive 211,BrandC,Sunscreen,"Hyaluronic Acid, Niacinamide, Salicylic Acid","Anti-Aging, Exfoliation, Soothing","Combination, Sensitive, Oily"
97,Hydra Glow 257,BrandA,Serum,"Glycolic Acid, Salicylic Acid","Exfoliation, Brightening, Anti-Aging","Oily, Combination, Dry"
98,Ultra Fresh 656,BrandD,Cleanser,"Glycolic Acid, Retinol, Salicylic Acid",Hydration,"Sensitive, Combination, Dry"
