product_id,product_name,brand,category,ingredients,benefits,suitable_skin_types
99,Hydra Bright 572,BrandB,Mask,"Glycolic Acid, Niacinamide, Vitamin C, Retinol","Anti-Aging, Brightening, Hydration",Combination
100,Clear Bright 254,BrandE,Serum,"Hyaluronic Acid, Retinol",Anti-Aging,"Dry, Oily, Combination"
101,Hydra Revive 802,BrandB,Sunscreen,"Hyaluronic Acid, Niacinamide","Brightening, Anti-Aging","Dry, Oily, Sensitive"
102,Radiant Revive 692,BrandE,Cleanser,"Niacinamide, Glycolic Acid, Retinol, Salicylic Acid",Brightening,"Oily, Combination, Dry, Sensitive"
103,Pure Smooth 142,BrandE,Moisturizer,"Glycolic Acid, Salicylic Acid, Vitamin C","Oil Control, Anti-Aging","Oily, Dry, Combination"
104,Pure Bright 309,BrandD,Sunscreen,"Glycolic Acid, Niacinamide, Vitamin C, Salicylic Acid","Anti-Aging, Oil Control","Sensitive, Oily"
105,Hydra Glow 607,BrandA,Moisturizer,"Salicylic Acid, Niacinamide",Soothing,Oily
106,Radiant Fresh 641,BrandA,Moisturizer,"Salicylic Acid, Hyaluronic Acid, Retinol","Exfoliation, Oil Control","Oily, Sensitive, Combination, Dry"
107,Pure Glow 206,BrandE,Mask,"Niacinamide, Hyaluronic Acid",Oil Control,"Sensitive, Combination, Oily"
108,Clear Smooth 958,BrandE,Exfoliator,"Salicylic Acid, Vitamin C, Niacinamide, Hyaluronic Acid","Soothing, Anti-Aging, Oil Control","Dry, Oily, Combination"
109,Pure Bright 585,BrandD,Cleanser,"Salicylic Acid, Niacinamide, Hyaluronic Acid, Glycolic Acid",Hydration,"Oily, Sensitive, Combination, Dry"
110,Ultra Fresh 120,BrandE,Sunscreen,"Retinol, Glycolic Acid, Salicylic Acid","Soothing, Hydration","Sensitive, Dry, Combination"
111,Pure Glow 773,BrandA,Cleanser,"Niacinamide, Retinol, Glycolic Acid, Hyaluronic Acid","Anti-Aging, Exfoliation, Hydration","Dry, Oily, Combination"
112,Clear Revive 383,BrandA,Sunscreen,"Glycolic Acid, Salicylic Acid, Niacinamide",Brightening,Oily
113,Ultra Glow 324,BrandC,Exfoliator,"Hyaluronic Acid, Niacinamide, Retinol, Salicylic Acid","Oil Control, Soothing, Anti-Aging","Sensitive, Oily, Combination, Dry"
114,Ultra Smooth 953,BrandE,Moisturizer,"Glycolic Acid, Vitamin C","Anti-Aging, Brightening, Oil Control","Oily, Combination"
115,Hydra Fresh 417,BrandC,Cleanser,"Salicylic Acid, Niacinamide","Brightening, Oil Control",Oily
116,Hydra Revive 617,BrandB,Moisturizer,"Retinol, Salicylic Acid","Exfoliation, Anti-Aging",Combination
117,Radiant Revive 281,BrandA,Sunscreen,"Niacinamide, Glycolic Acid, Salicylic Acid, Vitamin C","Oil Control, Anti-Aging, Brightening","Dry, Sensitive"
118,Hydra Revive 611,BrandA,Sunscreen,"Glycolic Acid, Retinol, Hyaluronic Acid, Vitamin C","Oil Control, Brightening","Oily, Dry"
119,Radiant Glow 670,BrandE,Sunscreen,"Niacinamide, Glycolic Acid, Salicylic Acid",Soothing,Sensitive
120,Ultra Fresh 556,BrandC,Exfoliator,"Vitamin C, Hyaluronic Acid, Glycolic Acid","Soothing, Hydration",Oily
121,Radiant Glow 252,BrandA,Cleanser,"Vitamin C, Hyaluronic Acid, Niacinamide",Oil Control,Combination
122,Clear Revive 949,BrandE,Sunscreen,"Niacinamide, Glycolic Acid","Anti-Aging, Soothing, Brightening",Dry
123,Clear Smooth 948,BrandC,Moisturizer,"Salicylic Acid, Retinol, Hyaluronic Acid",Brightening,"Combination, Oily"
124,Pure Glow 839,BrandD,Serum,"Hyaluronic Acid, Glycolic Acid","Oil Control, Anti-Aging, Soothing","Combination, Dry"
125,Radiant Revive 813,BrandA,Exfoliator,"Salicylic Acid, Vitamin C, Niacinamide",Brightening,"Combination, Oily, Dry"
126,Clear Revive 932,BrandC,Serum,"Retinol, Hyaluronic Acid, Niacinamide","Oil Control, Soothing","Combination, Dry"
127,Pure Bright 761,BrandD,Mask,"Retinol, Salicylic Acid, Glycolic Acid, Niacinamide",Soothing,"Sensitive, Dry"
128,Pure Glow 952,BrandA,Cleanser,"Glycolic Acid, Salicylic Acid","Anti-Aging, Brightening, Hydration",Sensitive
129,Clear Bright 578,BrandA,Serum,"Glycolic Acid, Niacinamide, Retinol, Salicylic Acid","Anti-Aging, Oil Control, Exfoliation",Sensitive
130,Pure Fresh 355,BrandE,Moisturizer,"Hyaluronic Acid, Vitamin C, Glycolic Acid, Salicylic Acid","Anti-Aging, Brightening","Sensitive, Dry"
131,Hydra Bright 261,BrandB,Cleanser,"Retinol, Glycolic Acid, Hyaluronic Acid","Brightening, Soothing, Oil Control","Oily, Sensitive, Dry"
132,Clear Fresh 183,BrandD,Cleanser,"Retinol, Vitamin C, Salicylic Acid, Glycolic Acid","Hydration, Soothing, Oil Control","Combination, Sensitive"
133,Hydra Smooth 924,BrandC,Moisturizer,"Salicylic Acid, Niacinamide, Hyaluronic Acid","Anti-Aging, Brightening, Exfoliation","Combination, Oily, Sensitive, Dry"
134,Pure Fresh 333,BrandE,Cleanser,"Glycolic Acid, Salicylic Acid, Vitamin C, Retinol",Oil Control,"Oily, Combination, Dry, Sensitive"
135,Pure Fresh 794,BrandC,Cleanser,"Salicylic Acid, Glycolic Acid",Brightening,"Combination, Dry, Sensitive, Oily"
136,Clear Fresh 238,BrandD,Sunscreen,"Niacinamide, Salicylic Acid","Anti-Aging, Brightening","Combination, Sensitive"
137,Clear Bright 794,BrandB,Mask,"Retinol, Glycolic Acid, Niacinamide","Oil Control, Exfoliation, Hydration","Oily, Combination, Dry"
138,Pure Glow 522,BrandE,Exfoliator,"Hyaluronic Acid, Glycolic Acid","Brightening, Oil Control, Hydration",Combination
139,Clear Glow 825,BrandC,Sunscreen,"Retinol, Glycolic Acid","Brightening, Oil Control, Exfoliation","Sensitive, Dry"
140,Clear Bright 647,BrandB,Exfoliator,"Glycolic Acid, Vitamin C","Exfoliation, Hydration","Combination, Sensitive"
141,Hydra Revive 449,BrandD,Exfoliator,"Hyaluronic Acid, Vitamin C, Retinol",Hydration,"Dry, Combination"
142,Clear Smooth 230,BrandB,Moisturizer,"Vitamin C, Niacinamide, Salicylic Acid",Exfoliation,Dry
143,Pure Bright 956,BrandC,Moisturizer,"Retinol, Glycolic Acid, Salicylic Acid","Exfoliation, Anti-Aging","Dry, Oily, Sensitive"
144,Radiant Revive 976,BrandC,Serum,"Hyaluronic Acid, Salicylic Acid","Oil Control, Anti-Aging, Soothing",Sensitive
145,Hydra Revive 864,BrandD,Moisturizer,"Salicylic Acid, Glycolic Acid",Exfoliation,Combination
146,Clear Bright 417,BrandC,Exfoliator,"Vitamin C, Hyaluronic Acid, Glycolic Acid","Anti-Aging, Hydration, Soothing","Combination, Dry, Oily"
147,Ultra Glow 257,BrandE,Exfoliator,"Salicylic Acid, Hyaluronic Acid, Niacinamide","Hydration, Brightening, Anti-Aging","Combination, Dry, Sensitive, Oily"
148,Hydra Smooth 816,BrandC,Sunscreen,"Hyaluronic Acid, Glycolic Acid, Niacinamide",Brightening,"Oily, Dry"
149,Pure Smooth 930,BrandE,Mask,"Glycolic Acid, Niacinamide","Exfoliation, Oil Control","Dry, Combination"
150,Radiant Bright 936,BrandB,Cleanser,"Glycolic Acid, Retinol, Vitamin C","Brightening, Soothing, Anti-Aging","Dry, Combination, Oily"
151,Radiant Fresh 422,BrandA,Moisturizer,"Niacinamide, Salicylic Acid","Brightening, Exfoliation",Sensitive
152,Radiant Revive 250,BrandE,Sunscreen,"Niacinamide, Glycolic Acid",Anti-Aging,"Combination, Sensitive, Oily, Dry"
153,Ultra Smooth 726,BrandD,Mask,"Salicylic Acid, Glycolic Acid","Exfoliation, Anti-Aging, Oil Control","Oily, Combination"
154,Hydra Glow 700,BrandA,Moisturizer,"Hyaluronic Acid, Glycolic Acid, Niacinamide, Retinol",Oil Control,"Combination, Dry"
155,Pure Bright 183,BrandC,Exfoliator,"Vitamin C, Retinol",Exfoliation,"Oily, Sensitive, Combination"
156,Clear Smooth 827,BrandA,Moisturizer,"Vitamin C, Glycolic Acid","Oil Control, Anti-Aging","Dry, Combination, Oily, Sensitive"
157,Ultra Bright 262,BrandD,Exfoliator,"Retinol, Niacinamide, Salicylic Acid, Hyaluronic Acid","Hydration, Soothing, Anti-Aging","Dry, Sensitive"
158,Pure Glow 187,BrandE,Exfoliator,"Salicylic Acid, Vitamin C, Niacinamide","Hydration, Anti-Aging",Combination
159,Pure Smooth 525,BrandE,Serum,"Glycolic Acid, Vitamin C, Hyaluronic Acid",Anti-Aging,"Oily, Combination"
160,Ultra Fresh 356,BrandB,Cleanser,"Niacinamide, Salicylic Acid, Glycolic Acid, Vitamin C","Anti-Aging, Brightening","Sensitive, Combination, Dry, Oily"
161,Hydra Glow 822,BrandB,Serum,"Salicylic Acid, Vitamin C, Glycolic Acid, Hyaluronic Acid","Anti-Aging, Soothing, Brightening","Dry, Sensitive"
162,Ultra Fresh 160,BrandC,Cleanser,"Glycolic Acid, Hyaluronic Acid","Hydration, Soothing, Exfoliation",Dry
163,Radiant Revive 412,BrandA,Sunscreen,"Salicylic Acid, Niacinamide","Exfoliation, Soothing, Hydration","Dry, Oily"
164,Pure Bright 370,BrandC,Exfoliator,"Salicylic Acid, Niacinamide, Retinol, Glycolic Acid",Oil Control,Dry
165,Radiant Fresh 110,BrandE,Cleanser,"Salicylic Acid, Hyaluronic Acid, Vitamin C","Anti-Aging, Soothing","Combination, Sensitive"
166,Pure Revive 547,BrandD,Serum,"Salicylic Acid, Niacinamide, Retinol",Anti-Aging,"Dry, Oily, Sensitive, Combination"
167,Ultra Revive 795,BrandA,Cleanser,"Retinol, Vitamin C, Salicylic Acid, Niacinamide",Brightening,"Oily, Sensitive, Dry, Combination"
168,Clear Smooth 498,BrandE,Serum,"Niacinamide, Salicylic Acid, Glycolic Acid",Hydration,"Oily, Dry"
169,Pure Smooth 642,BrandD,Sunscreen,"Retinol, Hyaluronic Acid","Soothing, Exfoliation","Sensitive, Combination, Dry, Oily"
170,Pure Revive 212,BrandB,Serum,"Glycolic Acid, Niacinamide","Soothing, Exfoliation, Anti-Aging","Dry, Combination, Oily"
171,Clear Bright 410,BrandD,Exfoliator,"Retinol, Salicylic Acid","Brightening, Oil Control, Hydration","Oily, Dry, Combination"
172,Radiant Smooth 840,BrandE,Mask,"Salicylic Acid, Vitamin C, Hyaluronic Acid",Hydration,"Oily, Dry, Combination, Sensitive"
173,Clear Smooth 825,BrandC,Serum,"Vitamin C, Glycolic Acid",Brightening,"Combination, Sensitive, Dry"
174,Hydra Bright 698,BrandD,Moisturizer,"Hyaluronic Acid, Salicylic Acid, Vitamin C, Niacinamide","Oil Control, Brightening, Soothing","Oily, Sensitive, Combination"
175,Clear Smooth 774,BrandA,Mask,"Glycolic Acid, Hyaluronic Acid, Vitamin C",Anti-Aging,"Dry, Sensitive"
176,Ultra Glow 368,BrandD,Sunscreen,"Retinol, Vitamin C, Salicylic Acid",Hydration,"Sensitive, Dry"
177,Ultra Revive 706,BrandC,Exfoliator,"Glycolic Acid, Retinol","Oil Control, Brightening","Combination, Dry, Oily"
178,Clear Fresh 200,BrandC,Sunscreen,"Vitamin C, Retinol, Hyaluronic Acid","Hydration, Exfoliation, Oil Control","Sensitive, Oily"
179,Pure Smooth 874,BrandC,Cleanser,"Hyaluronic Acid, Vitamin C","Brightening, Exfoliation","Combination, Oily, Sensitive"
180,Pure Smooth 267,BrandA,Sunscreen,"Hyaluronic Acid, Retinol, Niacinamide",Hydration,"Sensitive, Oily, Dry, Combination"
181,Pure Bright 557,BrandA,Mask,"Glycolic Acid, Retinol, Vitamin C","Anti-Aging, Soothing","Combination, Oily, Sensitive"
182,Ultra Glow 352,BrandD,Sunscreen,"Niacinamide, Retinol","Hydration, Exfoliation, Oil Control","Sensitive, Combination"
183,Clear Fresh 804,BrandC,Moisturizer,"Retinol, Glycolic Acid",Hydration,"Dry, Sensitive, Oily"
184,Hydra Smooth 895,BrandA,Mask,"Vitamin C, Glycolic Acid","Oil Control, Exfoliation","Sensitive, Dry"
185,Pure Glow 375,BrandD,Exfoliator,"Vitamin C, Glycolic Acid","Exfoliation, Anti-Aging, Brightening","Oily, Dry, Sensitive"
186,Clear Bright 121,BrandB,Cleanser,"Hyaluronic Acid, Vitamin C","Oil Control, Brightening",Oily
187,Ultra Smooth 579,BrandC,Mask,"Retinol, Vitamin C","Brightening, Anti-Aging","Combination, Sensitive, Dry, Oily"
188,Hydra Fresh 782,BrandD,Serum,"Hyaluronic Acid, Niacinamide",Oil Control,"Combination, Dry, Oily"
189,Clear Glow 104,BrandB,Cleanser,"Glycolic Acid, Vitamin C, Hyaluronic Acid, Salicylic Acid","Soothing, Anti-Aging, Exfoliation",Dry
190,Clear Fresh 337,BrandE,Serum,"Hyaluronic Acid, Glycolic Acid",Oil Control,Oily
191,Radiant Glow 413,BrandB,Exfoliator,"Glycolic Acid, Retinol, Salicylic Acid",Soothing,"Sensitive, Dry"
192,Hydra Glow 642,BrandE,Exfoliator,"Niacinamide, Retinol, Salicylic Acid","Exfoliation, Soothing",Dry
193,Pure Fresh 423,BrandE,Moisturizer,"Retinol, Vitamin C, Glycolic Acid, Niacinamide","Brightening, Oil Control","Sensitive, Combination, Dry, Oily"
194,Radiant Glow 110,BrandE,Sunscreen,"Hyaluronic Acid, Vitamin C, Niacinamide, Salicylic Acid","Soothing, Exfoliation","Oily, Sensitive, Combination"
195,Clear Fresh 379,BrandB,Mask,"Hyaluronic Acid, Niacinamide",Hydration,"Sensitive, Dry, Oily"
196,Pure Revive 133,BrandA,Mask,"Glycolic Acid, Salicylic Acid",Anti-Aging,"Combination, Oily"
197,Hydra Fresh 584,BrandE,Cleanser,"Salicylic Acid, Niacinamide, Retinol, Hyaluronic Acid","Exfoliation, Brightening","Dry, Oily"
198,Clear Bright 616,BrandA,Sunscreen,"Retinol, Glycolic Acid","Oil Control, Anti-Aging, Hydration",Dry
199,Pure Revive 474,BrandA,Moisturizer,"Niacinamide, Hyaluronic Acid",Soothing,"Sensitive, Dry"
200,Hydra Glow 518,BrandB,Mask,"Glycolic Acid, Salicylic Acid","Exfoliation, Anti-Aging","Combination, Oily, Dry"
